model,precision,recall,f1_score,f2_score,train_time_sec,inference_time_sec,inference_per_sample_ms
Logistic Regression,0.8139,0.7609,0.7801,0.7661,31.8971,0.0017,0.0007
Linear SVM,0.8147,0.781,0.7942,0.7851,11.1802,0.0014,0.0006
